,,,,
,Symboles,Formel,Informel,Prog
,≠,"0,0000001","0,000000001000000001","0,000000001000000001"
,√,"0,0000001","0,000000001000000001","0,000000001000000001"
,≃,"0,0000001","0,000000001000000001","0,000000001000000001"
,≤,"0,0000001","0,000000001000000001","0,000000001000000001"
,≥,"0,0000001","0,000000001000000001","0,000000001000000001"
,¼,"0,0000001","0,000000001000000001","0,000000001000000001"
,ẞ,"0,0000001","0,000000001000000001","0,000000001000000001"
,Ù,"0,0000001","0,000000001000000001","0,000000001000000001"
,ʒ,"0,0000001","0,000000001000000001","0,000000001000000001"
,Ʒ,"0,0000001","0,000000001000000001","0,000000001000000001"
,^,"0,000000001000000001","0,000000001000000001","0,000000001000000001"
,¦,"0,000000001000000001","0,000000001000000001","0,000000001000000001"
,~,"0,000000001000000001","0,000000001000000001","0,000000001000000001"
,¤,"0,000000001000000001","0,000000001000000001","0,000000001000000001"
,²,"0,000000001000000001","0,000000001000000001","0,000000001000000001"
,θ,"0,000000001000000001","0,000000001000000001","0,000000001000000001"
,μ,"0,000000001000000001","0,000000001000000001","0,000000001000000001"
